,labeledCell,kernel,intensity,classLabel
0,0,0,1.0,1
1,0,3,0.922570272935301,1
2,0,5,0.884321792630513,1
3,0,4,0.9036615296400866,1
4,1,5,0.6574503233536683,1
5,1,3,0.773975674147131,1
6,1,0,1.0,1
7,1,4,0.7155323767221126,1
8,2,3,0.7156600250515699,1
9,2,5,0.633906801999111,1
10,2,0,1.0,1
11,2,4,0.6686584228829651,1
12,3,3,0.8123265685528093,1
13,3,5,0.7500126541620141,1
14,3,0,1.0,1
15,3,4,0.7774193159626358,1
16,4,3,0.8237421739862802,1
17,4,5,0.7378374554979508,1
18,4,4,0.7870557793604571,1
19,4,0,1.0,1
20,5,5,0.6629827866797949,1
21,5,4,0.7386525566931429,1
22,5,3,0.7924838486455889,1
23,5,0,1.0,1
24,6,5,0.8139499353757846,1
25,6,4,0.8431635879805893,1
26,6,3,0.8720285867801064,1
27,6,0,1.0,1
28,7,4,0.7610191017522553,1
29,7,3,0.8111438652965489,1
30,7,0,1.0,1
31,7,5,0.7223444957998498,1
32,8,4,0.7111704070242222,1
33,8,0,1.0,1
34,8,5,0.6673917768211942,1
35,8,3,0.7502340077499461,1
36,9,0,1.0,1
37,9,5,0.7311896797855618,1
38,9,3,0.8233965548662419,1
39,9,4,0.7838025749280523,1
40,10,0,1.0,1
41,10,3,0.8768841315369522,1
42,10,5,0.8258771653288439,1
43,10,4,0.8520139043189635,1
44,11,0,1.0,1
45,11,3,0.8088275715816079,1
46,11,4,0.7677204621294105,1
47,11,5,0.7310549210241212,1
48,12,5,0.6826829758474798,1
49,12,4,0.7401757149883551,1
50,12,0,1.0,1
51,12,3,0.7964777891028578,1
52,13,3,0.8293729404829777,1
53,13,4,0.7913232125083346,1
54,13,0,1.0,1
55,13,5,0.7612699670477276,1
56,14,3,0.755528388209507,1
57,14,5,0.6587690856811768,1
58,14,0,1.0,1
59,14,4,0.7021757950844172,1
60,15,5,0.757899299957531,1
61,15,4,0.7977443487462623,1
62,15,0,1.0,1
63,15,3,0.8340224830815092,1
64,16,3,0.8701723944791038,1
65,16,5,0.7946706978542505,1
66,16,0,1.0,1
67,16,4,0.8356881811964147,1
68,17,4,0.7155061300618859,1
69,17,3,0.7547901367525369,1
70,17,0,1.0,1
71,17,5,0.6713714533956614,1
72,18,4,0.7266080303000566,1
73,18,0,1.0,1
74,18,3,0.7650945761002407,1
75,18,5,0.6885284474832687,1
76,19,5,0.7643874494758838,1
77,19,3,0.828188564048681,1
78,19,0,1.0,1
79,19,4,0.7944274631365319,1
80,20,5,0.7079213703262658,1
81,20,0,1.0,1
82,20,4,0.7444462930825251,1
83,20,3,0.7869882119402972,1
84,21,4,0.7006856623252635,1
85,21,5,0.6190873665719523,1
86,21,3,0.7604681769849388,1
87,21,0,1.0,1
88,22,0,1.0,1
89,22,3,0.7534987981448723,1
90,22,5,0.6387507517980147,1
91,22,4,0.7012199732043181,1
92,23,4,0.7133555269946901,1
93,23,5,0.6648195356320394,1
94,23,0,1.0,1
95,23,3,0.7739880548379945,1
96,24,5,0.7207103330116781,1
97,24,4,0.7836999547056854,1
98,24,3,0.8338215600937395,1
99,24,0,1.0,1
100,25,5,0.5708152025681595,1
101,25,3,0.6848301860911629,1
102,25,4,0.62954790472667,1
103,25,0,1.0,1
104,26,5,0.731595077075834,1
105,26,0,1.0,1
106,26,3,0.8447068941344749,1
107,26,4,0.7967214629867033,1
108,27,5,0.6297018489242555,1
109,27,0,1.0,1
110,27,3,0.6934721164397948,1
111,27,4,0.6653435106236073,1
112,28,0,1.0,1
113,28,5,0.8584785265811037,1
114,28,3,0.9424999724632594,1
115,28,4,0.9024552832438084,1
116,29,4,0.755951649288877,1
117,29,0,1.0,1
118,29,3,0.7990362158943226,1
119,29,5,0.7291413816546074,1
120,30,5,0.8481036242216946,1
121,30,4,0.9069213396248261,1
122,30,3,0.9403687636826805,1
123,30,0,1.0,1
124,31,5,0.7059276029347807,1
125,31,4,0.7581290267502678,1
126,31,3,0.8041769835780086,1
127,31,0,1.0,1
128,32,5,0.6737319789917159,1
129,32,4,0.7405161780071162,1
130,32,3,0.8006650458942179,1
131,32,0,1.0,1
132,33,0,1.0,1
133,33,5,0.7137787371398693,1
134,33,3,0.792047616228855,1
135,33,4,0.7477468145082814,1
136,34,4,0.6251482127301615,1
137,34,5,0.5883286568136289,1
138,34,3,0.6776314431980038,1
139,34,0,1.0,1
140,35,4,0.7878812520506054,1
141,35,0,1.0,1
142,35,5,0.7562252209130034,1
143,35,3,0.8278250310946951,1
144,36,4,0.630251826407398,1
145,36,0,1.0,1
146,36,5,0.5707840131364477,1
147,36,3,0.6932642203845495,1
148,37,4,0.6617233977348017,1
149,37,5,0.5621688178241891,1
150,37,3,0.7325722115827028,1
151,37,0,1.0,1
152,38,4,0.8574065506888189,1
153,38,5,0.809164271099143,1
154,38,0,1.0,1
155,38,3,0.8946526541675779,1
156,39,0,1.0,1
157,39,4,0.6813565646622027,1
158,39,3,0.7288012278191515,1
159,39,5,0.6460718150387968,1
160,40,4,0.7717376342737196,1
161,40,5,0.697404596953029,1
162,40,0,1.0,1
163,40,3,0.8378743951192278,1
164,41,3,0.7970769714419651,1
165,41,4,0.7562374362874009,1
166,41,5,0.7240702918549229,1
167,41,0,1.0,1
168,42,5,0.6061030678395599,1
169,42,3,0.7200183310772422,1
170,42,0,1.0,1
171,42,4,0.6592301404298868,1
172,43,5,0.5774052017320435,1
173,43,0,1.0,1
174,43,4,0.6328583698977589,1
175,43,3,0.6957978258734222,1
176,44,0,1.0,1
177,44,3,0.8222471472187487,1
178,44,4,0.7774178143213281,1
179,44,5,0.7307657868241229,1
180,45,5,0.729943896029876,1
181,45,3,0.8259879877247452,1
182,45,4,0.7825505913752092,1
183,45,0,1.0,1
184,46,0,1.0,1
185,46,3,0.7573028122442533,1
186,46,5,0.6756936455649434,1
187,46,4,0.7152167989150015,1
188,47,4,0.72028989160163,1
189,47,5,0.6762104841212678,1
190,47,0,1.0,1
191,47,3,0.7629056723989055,1
192,48,3,0.7667479109542531,1
193,48,4,0.7219884570757095,1
194,48,5,0.6811187291103871,1
195,48,0,1.0,1
196,49,4,0.7224630885327535,1
197,49,0,1.0,1
198,49,3,0.7791014912275844,1
199,49,5,0.6645059466338306,1
200,50,4,0.7222762798759509,1
201,50,3,0.7854273774966276,1
202,50,0,1.0,1
203,50,5,0.653239439605969,1
204,51,3,0.7627119914485634,1
205,51,4,0.7124968207793607,1
206,51,0,1.0,1
207,51,5,0.6604375115766825,1
208,52,3,0.8767866559407402,1
209,52,5,0.7967060749414538,1
210,52,4,0.8432141847834017,1
211,52,0,1.0,1
212,53,0,1.0,1
213,53,4,0.8036270801734097,1
214,53,3,0.8270205034124062,1
215,53,5,0.7837957475166835,1
216,54,5,0.6674001621287823,1
217,54,4,0.7063985567875737,1
218,54,3,0.7682908755963705,1
219,54,0,1.0,1
220,55,4,0.7401491685706437,1
221,55,3,0.7923169901167438,1
222,55,0,1.0,1
223,55,5,0.6732218053993223,1
224,56,4,0.8576714152655318,1
225,56,5,0.8012239067451843,1
226,56,0,1.0,1
227,56,3,0.8948391415159914,1
228,57,4,0.6390357831521233,1
229,57,5,0.6161667421708019,1
230,57,3,0.6786867072065792,1
231,57,0,1.0,1
232,58,3,0.966483045948463,1
233,58,0,1.0,1
234,58,4,0.9560437389721539,1
235,58,5,0.943899963455962,1
